CUSTOMER_ID,LAST_NAME,FIRST_NAME,CONTACT_PH_NUM,CONTACT_EMAIL,FlightNumber,Seat,InventoryId,Dep_Key,AircraftType,DepartureDateTime,ArrivalDateTime,DepartureAirport,ArrivalAirport,Passenger_Rating,Flight_Rating
DOO4677,Sims,Alicia,(805) 579-6808,aliciasims6@example.com,2223.0,C52,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,5200,220
DOO4677,Sims,Alicia,(805) 579-6808,aliciasims6@example.com,2223.0,C52,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,5200,220
CSD7677,Rastogi,Madhup,(542) 115-1567,madhuprastogi2@example.com,2223.0,A19,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,4600,220
CSD7677,Rastogi,Madhup,(542) 115-1567,madhuprastogi2@example.com,2223.0,A19,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,4600,220
GNB4853,Lee,Matthew,(779) 586-8264,matthewlee1@example.com,2223.0,D54,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,4800,220
GNB4853,Lee,Matthew,(779) 586-8264,matthewlee1@example.com,2223.0,D54,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,4800,220
ZOK2661,Batta,Himmat,(741) 532-8457,himmatbatta6@example.com,2223.0,D34,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,2700,220
ZOK2661,Batta,Himmat,(741) 532-8457,himmatbatta6@example.com,2223.0,D34,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,2700,220
HHM5642,Dunn,Megan,(525) 833-5665,megandunn1@example.com,2223.0,D36,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,2700,220
HHM5642,Dunn,Megan,(525) 833-5665,megandunn1@example.com,2223.0,D36,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,2700,220
ULP2325,Handa,Kiara,(269) 715-6645,kiarahanda3@example.com,2223.0,D53,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,3000,220
