CUSTOMER_ID,LAST_NAME,FIRST_NAME,CONTACT_PH_NUM,CONTACT_EMAIL,FlightNumber,Seat,InventoryId,Dep_Key,AircraftType,DepartureDateTime,ArrivalDateTime,DepartureAirport,ArrivalAirport,Passenger_Rating,Flight_Rating
HNX9437,Vargas,Tamara,(418) 570-2054,tamaravargas1@example.com,2223.0,D42,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,4600,250
ABA8820,Strickland,Karen,(533) 283-2515,karenstrickland1@example.com,2223.0,A26,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,4600,250
UNL1112,Foley,Brandon,(786) 884-1000,brandonfoley1@example.com,2223.0,C6,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,4100,250
DAC9048,Buch,Sumer,(564) 195-7525,sumerbuch6@example.com,2223.0,D57,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,3100,250
CRP1360,Hicks,Christopher,(578) 886-1822,christopherhicks2@example.com,2223.0,A23,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,2800,250
GNB4853,Lee,Matthew,(779) 586-8264,matthewlee1@example.com,2223.0,D54,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,4800,250
YZX1228,Sullivan,Diane,(129) 503-3182,dianesullivan6@example.com,2223.0,D47,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,4700,250
ONG4418,Rege,Renee,(634) 744-8697,reneerege3@example.com,2223.0,D48,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,2900,250
ODK7964,Alexander,Gregory,(290) 992-7726,gregoryalexander5@example.com,2223.0,D35,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,2700,250
OYO7972,Sutton,Peter,(502) 484-1342,petersutton4@example.com,2223.0,A26,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,2800,250
OXP9151,Dugal,Ayesha,(294) 780-3324,ayeshadugal2@example.com,2223.0,D22,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,4400,250
ZMB9553,Romero,Susan,(520) 558-9283,susanromero1@example.com,2223.0,C11,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,4400,250
YZG7105,Sandhu,Zoya,(489) 750-7742,zoyasandhu6@example.com,2223.0,D35,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,4600,250
LBH8598,Mcintosh,Brenda,(949) 974-7947,brendamcintosh2@example.com,2223.0,C12,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,4400,250
PUY7766,Rodriguez,Carrie,(655) 383-3154,carrierodriguez8@example.com,2223.0,D43,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,4600,250
OFW1963,Hall,James,(706) 907-7098,jameshall3@example.com,2223.0,D28,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,2400,250
PPC0528,Chawla,Vaibhav,(535) 836-9372,vaibhavchawla2@example.com,2223.0,A13,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,4200,250
HGT6065,Simpson,Jason,(241) 432-2564,jasonsimpson2@example.com,2223.0,D24,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,4500,250
OUE7451,Sabharwal,Khushi,(512) 488-8735,khushisabharwal4@example.com,2223.0,C37,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,4800,250
DGO4123,Hess,Jennifer,(369) 306-6031,jenniferhess1@example.com,2223.0,A29,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,4600,250
LIK1184,Williamson,Anthony,(972) 743-8414,anthonywilliamson1@example.com,2223.0,C33,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,5000,250
JCI3971,Wilson,Hannah,(423) 680-3877,hannahwilson4@example.com,2223.0,A19,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,2600,250
GSJ1595,Sastry,Sahil,(580) 154-3284,sahilsastry2@example.com,2223.0,D51,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,2900,250
SWO6503,Yadav,Indranil,(205) 513-9197,indranilyadav1@example.com,2223.0,B10,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,3100,250
WPH4609,Dhar,Lakshay,(916) 570-5986,lakshaydhar2@example.com,2223.0,B4,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,4400,250
GKJ8091,Castro,Robert,(598) 405-9544,robertcastro1@example.com,2223.0,A4,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,3100,250
QFF7534,Garcia,Alexandra,(744) 839-5788,alexandragarcia5@example.com,2223.0,D49,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,4700,250
WRC3967,Turner,Stephanie,(400) 954-8382,stephanieturner2@example.com,2223.0,B6,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,4400,250
KGO8578,Mallick,Divit,(894) 967-8087,divitmallick3@example.com,2223.0,B5,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,4400,250
DGE3826,Chaudhary,Himmat,(566) 459-9778,himmatchaudhary6@example.com,2223.0,C20,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,4500,250
COL7935,King,Alan,(119) 865-1287,alanking3@example.com,2223.0,D55,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,3000,250
CWK9565,Blair,Nicholas,(527) 703-4781,nicholasblair5@example.com,2223.0,C30,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,3000,250
RGN9143,Sanford,Anthony,(943) 491-4586,anthonysanford7@example.com,2223.0,D61,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,3200,250
LAT7998,Harrington,Zachary,(247) 228-2729,zacharyharrington1@example.com,2223.0,B2,INV-ZZ-4268320,ZZ20240515AMDHYD2223.0,Boeing 777,2024-05-15 10:52:00,2024-05-15 19:30:00,AMD,HYD,4100,250
ZHC4585,Guzman,Paul,(759) 463-4287,paulguzman1@example.com,2223.0,D52,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,2900,250
GWP4929,Hayer,Yasmin,(356) 530-7944,yasminhayer6@example.com,2223.0,D46,INV-ZZ-4457881,ZZ20240514AMDHYD2223.0,Boeing 777,2024-05-14 10:52:00,2024-05-14 19:30:00,AMD,HYD,2800,250
